Variant,Semantic,AttributeReliability,ConfidenceReliability,Diff_R1,Diff_mAP,Same_R1,Same_mAP
V0,Original PDF,No,No,64.40869319785493,62.16130433901377,99.87090111025046,98.14162041511777
V1,P2,No,No,64.46514253457522,62.16345692260771,99.87090111025046,98.14723744646624
V2,P2,Yes,No,64.69093988145639,62.172500783779974,99.87090111025046,98.14428412622614
V3,P2,No,Yes,64.46514253457522,62.20093160343366,99.87090111025046,98.14996018587951
V4,P2,Yes,Yes,64.23934518769404,62.19841559917232,99.87090111025046,98.14871434918864
