representation,same_AB_ROC_AUC_mean,same_AB_ROC_AUC_std,diff_AC_BC_ROC_AUC_mean,diff_AC_BC_ROC_AUC_std,A_gallery_C_R1_mean,A_gallery_C_R1_std,A_gallery_C_mAP_mean,A_gallery_C_mAP_std,A_gallery_B_R1_mean,A_gallery_B_R1_std,A_gallery_B_mAP_mean,A_gallery_B_mAP_std
F_visual,0.9995998067666667,7.526924331763532e-06,0.9991585046,1.2347390198792406e-05,0.9852120114682359,0.0008079260803887674,0.9668830611345126,0.000699259453932546,0.9957996363864335,0.00023457196331098576,0.9884831001787601,0.0003366778529674821
F_cloth,0.9935736585666666,0.000935272107132519,0.9716778953833333,0.0019444179403791985,0.8286806498667069,0.0006785743958167202,0.705697565646318,0.006056985982855317,0.9784966459783085,0.0012412381589382096,0.9383789067645362,0.000582570916170017
F_residual(alpha=0.00),,,0.9991585046,1.2347390198792406e-05,0.9852120114682359,0.0008079260803887674,0.9668830611345126,0.000699259453932546,,,,
F_residual(alpha=0.25),,,0.99915435165,1.2632969952508745e-05,0.9855138071525578,0.0007494424035889442,0.9678092187438061,0.0006832063428921628,,,,
F_residual(alpha=0.50),,,0.9991488716666668,1.9976852241304247e-05,0.9859162013983199,0.0006785743958166981,0.9686952172715922,0.0006806426119213748,,,,
F_residual(alpha=0.75),,,0.9991408386499999,3.024391582557793e-05,0.9866203913284041,0.0004979374748056732,0.9695185973070872,0.0007009088571770775,,,,
F_residual(alpha=1.00),,,0.9991275656499999,4.147885530539739e-05,0.9870227855741662,0.0004928302887748747,0.9701862075055742,0.0007342410405583907,,,,
F_residual(alpha=1.25),,,0.9991061145666666,5.351905454547425e-05,0.9871233841356069,0.0003100655904113771,0.9706564856171692,0.0007480561557852271,,,,
F_residual(alpha=1.50),,,0.99907379865,6.64534021003189e-05,0.9869221870127257,0.0005822562699456637,0.9708442124585667,0.0007654255166756415,,,,
