seed,alpha,positive_count,negative_count,positive_mean,negative_mean,D_gap,ROC_AUC,PR_AUC,EER,same_clothes_positive_mean,diff_clothes_positive_mean,same_clothes_D_gap
0,0.0,200000,100000,0.8462987836876041,0.39180940513389806,0.4544893785537061,0.9991693594,0.9995962697386227,0.01126,0.8868311742430443,0.8462987836876041,0.4950217691091462
0,0.25,200000,100000,0.8716242001448375,0.49050937093559144,0.3811148292092461,0.99917221725,0.9995995454353491,0.01117,0.905290732393776,0.8716242001448375,0.41478136145818456
0,0.5,200000,100000,0.8914725707264952,0.5714380838718344,0.32003448685466085,0.99917239165,0.9996012738624878,0.01109,0.9198094177683126,0.8914725707264952,0.34837133389647823
0,0.75,200000,100000,0.9066447911556842,0.6359061419427129,0.2707386492129713,0.99916913855,0.999601186276,0.0111,0.9309436792807556,0.9066447911556842,0.2950375373380427
0,1.0,200000,100000,0.9181293270184104,0.6866666813735146,0.23146264564489583,0.99915996195,0.9995981785421918,0.01107,0.9393979721694077,0.9181293270184104,0.25273129079589307
0,1.25,200000,100000,0.9268119765235293,0.7265633987862462,0.2002485777372831,0.99914243745,0.999591155855551,0.01109,0.9458094756083527,0.9268119765235293,0.2192460768221065
0,1.5,200000,100000,0.9333987148125872,0.758038192317837,0.1753605224947502,0.999113992,0.9995789368279424,0.011082499999999999,0.9506887358740768,0.9333987148125872,0.19265054355623978
1,0.0,200000,100000,0.8488687255815774,0.4038289194032831,0.44503980617829436,0.99916492275,0.9995911811034152,0.01132,0.8887916868117728,0.8488687255815774,0.4849627674084897
1,0.25,200000,100000,0.8743195927886326,0.5033059084121224,0.37101368437651017,0.99914536275,0.9995841144729202,0.011412499999999999,0.9073238327632328,0.8743195927886326,0.4040179243511104
1,0.5,200000,100000,0.8942155396611382,0.5842462275974732,0.30996931206366496,0.99912355735,0.9995759228285703,0.01153,0.921884824760922,0.8942155396611382,0.3376385971634488
1,0.75,200000,100000,0.9094017472678473,0.6483279220713127,0.26107382519653455,0.999098915,0.9995663522914973,0.01164,0.9330501572531116,0.9094017472678473,0.28472223518179884
1,1.0,200000,100000,0.9208936586673556,0.69854601328089,0.22234764538646556,0.99906901655,0.9995543013529173,0.01175,0.9415357341595832,0.9208936586673556,0.2429897208786932
1,1.25,200000,100000,0.9295893561045562,0.7378766816691069,0.19171267443544926,0.9990304473,0.9995382181054387,0.011872500000000001,0.9479832993643407,0.9295893561045562,0.21010661769523375
1,1.5,200000,100000,0.936198572495483,0.7688244720914439,0.1673741004040391,0.9989801326,0.9995166768097333,0.01218,0.952904059887026,0.936198572495483,0.1840795877955821
2,0.0,200000,100000,0.85524591324825,0.42520480230200003,0.4300411109462499,0.99914123165,0.9995854579519382,0.01144,0.8937274776094942,0.85524591324825,0.4685226753074942
2,0.25,200000,100000,0.8807904773509283,0.5252688824198407,0.3555215949310876,0.99914547495,0.9995893615823614,0.01131,0.9124082415432834,0.8807904773509283,0.38713935912344266
2,0.5,200000,100000,0.900394644915737,0.605309627410598,0.29508501750513894,0.999150666,0.9995931232503857,0.01111,0.926789071767046,0.900394644915737,0.32147944435644793
2,0.75,200000,100000,0.9151316737164373,0.6678220562899256,0.2473096174265117,0.9991544624,0.9995958250098993,0.01097,0.9376322641607931,0.9151316737164373,0.2698102078708675
2,1.0,200000,100000,0.9261443535233315,0.7162870972793465,0.209857256243985,0.99915371845,0.9995961167463657,0.01086,0.9457600122543488,0.9261443535233315,0.22947291497500233
2,1.25,200000,100000,0.9343904133530676,0.753924605011767,0.18046580834130066,0.99914545895,0.9995926348129572,0.01079,0.9518652623743359,0.9343904133530676,0.19794065736256894
2,1.5,200000,100000,0.9406019288367394,0.783341409579794,0.1572605192569454,0.99912727135,0.9995842365495313,0.01081,0.9564795975023745,0.9406019288367394,0.1731381879225805
