Comparison,Diff_R1,Diff_mAP,Same_R1,Same_mAP
V1-V0,0.0564493367202914,0.002152583593939994,0.0,0.005617031348464252
V2-V1,0.2257973468811656,0.009043861172266077,0.0,-0.002953320240095536
V3-V1,0.0,0.03747468082595162,0.0,0.0027227394132722793
V4-V1,-0.2257973468811798,0.03495867656461371,0.0,0.0014769027224019737
V4-V2,-0.4515946937623454,0.025914815392347634,0.0,0.00443022296249751
V4-V3,-0.2257973468811798,-0.002516004261337912,0.0,-0.0012458366908703056
