seed,scope,layer,mean_cosine,mean_absolute_cosine,projection_energy,linear_CKA
0,dev,0,-0.29649150371551514,0.29649150371551514,0.08801935613155365,
0,val,0,-0.29767099022865295,0.29767099022865295,0.08876821398735046,
0,dev,1,-0.3093856871128082,0.3093856871128082,0.09582889825105667,0.13510642946970478
0,val,1,-0.31061846017837524,0.31061846017837524,0.09666426479816437,0.19473148238279153
0,dev,2,-0.2874959111213684,0.2874959111213684,0.08276247978210449,0.14903437040755385
0,val,2,-0.28797027468681335,0.28797027468681335,0.0830959677696228,0.21133560858912198
0,dev,3,-0.3100004494190216,0.3100004494190216,0.09620802849531174,0.18021281870422554
0,val,3,-0.310400128364563,0.310400128364563,0.09652912616729736,0.23923361073835872
0,dev,4,-0.31937018036842346,0.31937018036842346,0.10210061818361282,0.17886734304615148
0,val,4,-0.3199998438358307,0.3199998438358307,0.10257618874311447,0.22886629331582264
0,dev,5,-0.33878612518310547,0.33878612518310547,0.1148911789059639,0.18284477048926415
0,val,5,-0.3400537073612213,0.3400537073612213,0.1158108189702034,0.23427948537260873
0,dev,6,-0.3517668545246124,0.3517668545246124,0.12386293709278107,0.18904344406171864
0,val,6,-0.35302889347076416,0.35302889347076416,0.1248115599155426,0.24466697141289592
0,dev,7,-0.3843516409397125,0.3843516409397125,0.14789846539497375,0.20259038581760122
0,val,7,-0.38635361194610596,0.38635361194610596,0.14948329329490662,0.25819664908351136
0,dev,8,-0.3835844397544861,0.3835844397544861,0.1473158299922943,0.21691109463430042
0,val,8,-0.3848215937614441,0.3848215937614441,0.14830750226974487,0.27657526838579033
0,dev,9,-0.42134785652160645,0.42134785652160645,0.17774434387683868,0.26227787559190446
0,val,9,-0.4220863878726959,0.4220863878726959,0.17843002080917358,0.3328678798906901
0,dev,10,-0.4483049511909485,0.4483049511909485,0.2011968046426773,0.42945447547362775
0,val,10,-0.448223739862442,0.448223739862442,0.20118649303913116,0.4851140998855551
0,dev,11,-0.5079225897789001,0.5079225897789001,0.2582405209541321,0.593591918075343
0,val,11,-0.5087822675704956,0.5087822675704956,0.2591991722583771,0.6343149417788668
0,dev,12,-0.599124014377594,0.599124014377594,0.3597111999988556,0.6661049770258756
0,val,12,-0.6067072749137878,0.6067072749137878,0.3690708875656128,0.6908932426235477
1,dev,0,-0.3165162205696106,0.3165162205696106,0.10032392293214798,
1,val,0,-0.3170599043369293,0.3170599043369293,0.10065294802188873,
1,dev,1,-0.3289901614189148,0.3289901614189148,0.1083601862192154,0.1377651162691491
1,val,1,-0.3288229703903198,0.3288229703903198,0.10825023800134659,0.19161428377712797
1,dev,2,-0.3192652463912964,0.3192652463912964,0.10205961763858795,0.1506313426192723
1,val,2,-0.31917011737823486,0.31917011737823486,0.10199664533138275,0.21439940343158656
1,dev,3,-0.33987677097320557,0.33987677097320557,0.11564033478498459,0.191158374725077
1,val,3,-0.33981654047966003,0.33981654047966003,0.11560722440481186,0.25906104238094985
1,dev,4,-0.3442695736885071,0.3442695736885071,0.11866490542888641,0.189137415438327
1,val,4,-0.3445202112197876,0.3445202112197876,0.11884137988090515,0.25146612332566315
1,dev,5,-0.35834962129592896,0.35834962129592896,0.1285892277956009,0.1932834246681693
1,val,5,-0.3591375946998596,0.3591375946998596,0.12914015352725983,0.2561268563425773
1,dev,6,-0.3577728271484375,0.3577728271484375,0.1281997114419937,0.196852888105592
1,val,6,-0.3587028682231903,0.3587028682231903,0.12886416912078857,0.2635444507975934
1,dev,7,-0.3976719081401825,0.3976719081401825,0.15836641192436218,0.2099105809340089
1,val,7,-0.3981621563434601,0.3981621563434601,0.15875235199928284,0.2726674921391101
1,dev,8,-0.4100913405418396,0.4100913405418396,0.1683649718761444,0.22502593504449872
1,val,8,-0.41052940487861633,0.41052940487861633,0.16871386766433716,0.29301260040108773
1,dev,9,-0.4435148537158966,0.4435148537158966,0.19694462418556213,0.26318659102316994
1,val,9,-0.4441107213497162,0.4441107213497162,0.19749116897583008,0.3479236829624721
1,dev,10,-0.468104749917984,0.468104749917984,0.21936187148094177,0.4346595158582499
1,val,10,-0.4688584506511688,0.4688584506511688,0.22008326649665833,0.5095688587691362
1,dev,11,-0.5252607464790344,0.5252607464790344,0.2762351334095001,0.580948354859216
1,val,11,-0.5266989469528198,0.5266989469528198,0.2777438759803772,0.6170112353376231
1,dev,12,-0.6091776490211487,0.6091776490211487,0.3718133270740509,0.6551450090775928
1,val,12,-0.6142088770866394,0.6142088770866394,0.37797439098358154,0.6657228105391387
2,dev,0,-0.325197696685791,0.325197696685791,0.1058528870344162,
2,val,0,-0.3249860405921936,0.3249860405921936,0.1057170033454895,
2,dev,1,-0.3244480788707733,0.3244480788707733,0.10538589954376221,0.12929712825339978
2,val,1,-0.3238793909549713,0.3238793909549713,0.10502351075410843,0.19366241709431195
2,dev,2,-0.31728264689445496,0.31728264689445496,0.10078715533018112,0.14475268898568583
2,val,2,-0.31614241003990173,0.31614241003990173,0.10006822645664215,0.21394543469507715
2,dev,3,-0.3381556272506714,0.3381556272506714,0.11447708308696747,0.17425671123807515
2,val,3,-0.3377496004104614,0.3377496004104614,0.11421404778957367,0.24684177963699624
2,dev,4,-0.33484160900115967,0.33484160900115967,0.11226972192525864,0.16540327777759545
2,val,4,-0.33439335227012634,0.33439335227012634,0.11198011785745621,0.23336824959964653
2,dev,5,-0.34723347425460815,0.34723347425460815,0.12071014195680618,0.1709309056506925
2,val,5,-0.34725305438041687,0.34725305438041687,0.1207357794046402,0.23991848288006176
2,dev,6,-0.36060723662376404,0.36060723662376404,0.13019131124019623,0.17865399330002313
2,val,6,-0.3607524335384369,0.3607524335384369,0.13030603528022766,0.25037169337167064
2,dev,7,-0.38807231187820435,0.38807231187820435,0.15077407658100128,0.19236434335887426
2,val,7,-0.38828301429748535,0.38828301429748535,0.1509578824043274,0.26622377068413916
2,dev,8,-0.40765616297721863,0.40765616297721863,0.16640566289424896,0.20679385157838734
2,val,8,-0.4074585735797882,0.4074585735797882,0.16621743142604828,0.28904901493627194
2,dev,9,-0.43265751004219055,0.43265751004219055,0.18738968670368195,0.2472735355783806
2,val,9,-0.4330894351005554,0.4330894351005554,0.18776515126228333,0.34328001490064325
2,dev,10,-0.46872955560684204,0.46872955560684204,0.21989765763282776,0.4153807703487741
2,val,10,-0.4685809910297394,0.4685809910297394,0.21974097192287445,0.49334633667711303
2,dev,11,-0.5283972024917603,0.5283972024917603,0.2795500159263611,0.5628297808507549
2,val,11,-0.5293095111846924,0.5293095111846924,0.2805059850215912,0.6007758335587615
2,dev,12,-0.5973381996154785,0.5973381996154785,0.3577427566051483,0.644323151911498
2,val,12,-0.6016244888305664,0.6016244888305664,0.3627258539199829,0.6718513571511195
