seed,scope,layer,cosine,R2,NMSE,ridge_alpha
0,dev,0,0.9484265783626097,-4.884981308350689e-15,0.10115374428760544,1.0
0,val,0,0.9494089718229808,-0.013423221733954493,0.0995452751433089,1.0
0,dev,1,0.9837160033823334,0.6783199999963466,0.03253913646280631,1.0
0,val,1,0.9265876212005827,-0.4999644742589313,0.14733664385528777,1.0
0,dev,2,0.9875041907021773,0.7527740182672087,0.025007833737450864,1.0
0,val,2,0.9250641112977972,-0.5396650249481556,0.15123630014591222,1.0
0,dev,3,0.989215235439812,0.7859658525382315,0.021650355421163257,1.0
0,val,3,0.9250580793558905,-0.5385232122524963,0.15112414358928916,1.0
0,dev,4,0.9913500096534968,0.828060017353242,0.01739237303746539,1.0
0,val,4,0.9177154031212393,-0.7127080713724516,0.16823375717918418,1.0
0,dev,5,0.9930241201962711,0.8616776136077076,0.01399182730237724,1.0
0,val,5,0.910191792744741,-0.889976754047958,0.1856462847518528,1.0
0,dev,6,0.9935408281920128,0.8717939445395794,0.012968522550165885,1.0
0,val,6,0.9075712598067524,-0.9590209627399711,0.19242827336618398,1.0
0,dev,7,0.9942000325939088,0.8849906986773164,0.011633621456690845,1.0
0,val,7,0.908412905475176,-0.9451775204493584,0.19106847694333143,1.0
0,dev,8,0.9948403074771125,0.8976348404050155,0.01035461917763093,1.0
0,val,8,0.908638040093927,-0.9718174421586461,0.19368523002286903,1.0
0,dev,9,0.995507727328592,0.9107172249175108,0.009031286999981854,1.0
0,val,9,0.9162435360763792,-0.783965323577555,0.17523312587785733,1.0
0,dev,10,0.9966301019558288,0.933116973843727,0.006765468524992828,1.0
0,val,10,0.9330873006537345,-0.4224971098113497,0.1397272759789851,1.0
0,dev,11,0.9976850062248506,0.9540373782911353,0.004649291283126413,1.0
0,val,11,0.9482833038411778,-0.10581614483200652,0.10862073222169884,1.0
0,dev,12,0.9976646294465934,0.9535361549846207,0.00469999189730458,1.0
0,val,12,0.9600276152554075,0.17047834130109651,0.08148122125249073,1.0
1,dev,0,0.9531307372693774,-4.218847493575595e-15,0.09235344494347017,1.0
1,val,0,0.9535484760394498,-0.013879351333573764,0.09162674166977991,1.0
1,dev,1,0.9853405357920828,0.6814506312339845,0.029419131590109268,1.0
1,val,1,0.9335327219132404,-0.47747589522960165,0.13352308832157062,1.0
1,dev,2,0.9887924537135878,0.7561399580307546,0.02252131495991894,1.0
1,val,2,0.9314396369992846,-0.5302473514660857,0.1382921731064205,1.0
1,dev,3,0.9902751708677655,0.7878362935628301,0.01959404918144765,1.0
1,val,3,0.9318269141665494,-0.5192683029382237,0.13729996980144224,1.0
1,dev,4,0.9922465132968505,0.8311137290125363,0.015597228929348641,1.0
1,val,4,0.9249844503006464,-0.7024816420250428,0.1538574046371406,1.0
1,dev,5,0.9937367238746834,0.863629792813934,0.012594258421287906,1.0
1,val,5,0.919064157842645,-0.8544493926170189,0.16759109968410418,1.0
1,dev,6,0.9941247405316422,0.8719885032867505,0.011822302713838245,1.0
1,val,6,0.9178477818290366,-0.8900737149726239,0.17081055629631803,1.0
1,dev,7,0.9947517048093656,0.8858343979564601,0.010543586642766143,1.0
1,val,7,0.9168246705361702,-0.9241816991319454,0.1738929777395918,1.0
1,dev,8,0.9953693041499283,0.8990956530313663,0.00931886405232448,1.0
1,val,8,0.9163510320335457,-0.9502954450006549,0.1762529404349513,1.0
1,dev,9,0.9958907913149379,0.9106385472711237,0.008252838004664755,1.0
1,val,9,0.9240519154572497,-0.7619871879387727,0.15923506547635688,1.0
1,dev,10,0.9968321992555658,0.931134018191403,0.006360010659438256,1.0
1,val,10,0.940313438926331,-0.38435342377746906,0.12510738420039186,1.0
1,dev,11,0.9978906652968397,0.9540375279602429,0.004244792630989474,1.0
1,val,11,0.9537480325122247,-0.07219235376577227,0.0968966294555569,1.0
1,dev,12,0.9979568219347226,0.9554565559162772,0.004113740510778616,1.0
1,val,12,0.9626774732430476,0.1533155427998757,0.07651693264455246,1.0
2,dev,0,0.9560438672265966,-7.105427357601002e-15,0.08679371403257173,1.0
2,val,0,0.9565203486734409,-0.014475584884516612,0.08617684633309251,1.0
2,dev,1,0.9860769703569345,0.6782985598878835,0.027921662796957347,1.0
2,val,1,0.9375788952245004,-0.4815482198597172,0.125853352392361,1.0
2,dev,2,0.9893163131305523,0.7527179412698972,0.021462528290805995,1.0
2,val,2,0.9356655978424067,-0.5385331204656421,0.13069405935070774,1.0
2,dev,3,0.9906696969333033,0.7836833473229418,0.0187749256929356,1.0
2,val,3,0.9348960496606963,-0.555942104109111,0.1321729035245962,1.0
2,dev,4,0.9925201345358717,0.8265931622302429,0.015050623488680746,1.0
2,val,4,0.9299928931554903,-0.6883437802603833,0.14342005335248578,1.0
2,dev,5,0.9939985260103564,0.8611084204571116,0.012054916036377566,1.0
2,val,5,0.9221815255065765,-0.9000298311474757,0.1614021877182259,1.0
2,dev,6,0.9944036567240812,0.8703422395386041,0.011253478583589997,1.0
2,val,6,0.920113048400727,-0.9605698300253924,0.1665448902711924,1.0
2,dev,7,0.9950600533948365,0.8857037908606419,0.009920192491048392,1.0
2,val,7,0.9203384612738527,-0.9639023614525308,0.1668279794386162,1.0
2,dev,8,0.9955089029466042,0.8961059377627043,0.009017351527505983,1.0
2,val,8,0.921313456425115,-0.9393498630722277,0.16474231378875856,1.0
2,dev,9,0.9960997042955594,0.9097675287707173,0.00783161130432656,1.0
2,val,9,0.9280365217782227,-0.7829093017773536,0.151453128310228,1.0
2,dev,10,0.9970442108957248,0.9315415292964808,0.005941764929348392,1.0
2,val,10,0.9407451523244453,-0.45314782910062346,0.12344081911239567,1.0
2,dev,11,0.9979976782527101,0.9535319721732699,0.004033132718850772,1.0
2,val,11,0.9539977381700232,-0.1282999077101996,0.09584590227023844,1.0
2,dev,12,0.997977089580609,0.9530967062778736,0.0040709110625039326,1.0
2,val,12,0.9632228821842289,0.10236647189251524,0.07625144238829186,1.0
