ci_high,ci_low,estimate,iterations,metric,n_identity,seed,unit
0.04729793057637761,0.04471309680480859,0.04600202638978046,10000,F_cloth_diff_clothes_D_gap,150,0,identity
0.9840685642970053,0.9767833270435934,0.980540098884856,10000,F_cloth_diff_clothes_ROC_AUC,150,0,identity
0.001130694900916675,5.909242360235112e-05,0.0005929272979877473,10000,alpha_best_minus_1_mAP,150,0,identity
0.0013177663683891297,-0.0008290955376190444,0.00021373358244697254,10000,alpha_best_minus_1_R1,150,0,identity
0.04603708410263062,0.04016162207722664,0.043082537055015566,10000,F_cloth_identity_retention_prototype,150,0,identity
0.04303112779774476,0.04075146150360782,0.04187836185658707,10000,F_cloth_diff_clothes_D_gap,150,1,identity
0.9820137909336611,0.9726026016125858,0.9777070680248253,10000,F_cloth_diff_clothes_ROC_AUC,150,1,identity
0.0008185755883631031,0.0001317571956645717,0.0004632908057108883,10000,alpha_best_minus_1_mAP,150,1,identity
0.001142993780473868,-0.0003039215753475825,0.0003880918150146802,10000,alpha_best_minus_1_R1,150,1,identity
0.041671204919616386,0.03637543829282125,0.039005213379859925,10000,F_cloth_identity_retention_prototype,150,1,identity
0.04062643588690015,0.038342428457261366,0.039492217149294045,10000,F_cloth_diff_clothes_D_gap,150,2,identity
0.982331521633836,0.9730744836243084,0.9779592065627094,10000,F_cloth_diff_clothes_ROC_AUC,150,2,identity
0.0,0.0,0.0,10000,alpha_best_minus_1_mAP,150,2,identity
0.0,0.0,0.0,10000,alpha_best_minus_1_R1,150,2,identity
0.03939041326940059,0.03430724149445693,0.03682649950186412,10000,F_cloth_identity_retention_prototype,150,2,identity
