seed,layer,positive_count,negative_count,positive_mean,negative_mean,D_gap,ROC_AUC,PR_AUC,EER
0,0,200000,100000,1.000000206561219,1.0000002065612195,-4.440892098500626e-16,0.5,1.0,0.0
0,1,200000,100000,0.9986091847448052,0.9985914773333564,1.7707411448797394e-05,0.51212721055,0.6903102272780353,0.49494
0,2,200000,100000,0.9987113920279564,0.99869316480713,1.8227220826450008e-05,0.5153700196,0.7007121363014095,0.5013225
0,3,200000,100000,0.9977750332555279,0.9977176388646426,5.7394390885256996e-05,0.5153890418,0.7042670429327361,0.504
0,4,200000,100000,0.9952210990280328,0.9951441029226799,7.699610535294443e-05,0.5107252878,0.7056953862806612,0.5101825
0,5,200000,100000,0.9921070263296083,0.9918610682106912,0.0002459581189171445,0.5188622414,0.7114813075164154,0.50152
0,6,200000,100000,0.9883799104933422,0.9879763404248783,0.00040357006846392096,0.52166459905,0.712510983709098,0.49831749999999997
0,7,200000,100000,0.9884567490024869,0.9877995631980802,0.000657185804406768,0.5404485281,0.7233139904932676,0.48238749999999997
0,8,200000,100000,0.9905534280427337,0.9899044086578729,0.0006490193848608383,0.54995099685,0.732520922072241,0.4766
0,9,200000,100000,0.9931960626162578,0.9924155380156449,0.0007805246006129529,0.58731374195,0.7593040807302431,0.44826
0,10,200000,100000,0.995483642836152,0.9937303404084327,0.0017533024277193165,0.78018229015,0.8771844351364552,0.29224249999999996
0,11,200000,100000,0.9859316300498538,0.9636229352592353,0.02230869479061859,0.97972888125,0.9891615683628754,0.07236
0,12,200000,100000,0.9192786139782567,0.6597855388180189,0.2594930751602378,0.99913084755,0.9995714158622903,0.01192
1,0,200000,100000,0.9999998132342578,0.9999998132342578,0.0,0.5,1.0,0.0
1,1,200000,100000,0.9985768244552293,0.9985624213154998,1.4403139729557424e-05,0.5123309248,0.690925172050783,0.49469
1,2,200000,100000,0.9986852978494816,0.9986701592398992,1.513860958235469e-05,0.5147361553,0.7011322286326803,0.50276
1,3,200000,100000,0.9977535333221255,0.9976954852122983,5.8048109827124605e-05,0.51549820805,0.7043954964932643,0.50395
1,4,200000,100000,0.9952596135319614,0.9951866365302126,7.29770017487974e-05,0.5103681165,0.705364747324965,0.50988
1,5,200000,100000,0.9919073758698007,0.9916634173186533,0.00024395855114744958,0.51847193955,0.7114882431313372,0.50185
1,6,200000,100000,0.9882102406026019,0.9878098746284176,0.0004003659741842469,0.52110877105,0.7121111414170325,0.49881
1,7,200000,100000,0.9881485503405216,0.9875195079220896,0.0006290424184319798,0.53759134855,0.7221159470188622,0.48475
1,8,200000,100000,0.9901942613727434,0.9895637179154555,0.0006305434572878577,0.5458958111,0.730582723746702,0.48118
1,9,200000,100000,0.99318885387044,0.9924630780541538,0.0007257758162861894,0.57864225435,0.7546134886586535,0.45655
1,10,200000,100000,0.995345705566338,0.9934703304988499,0.0018753750674880276,0.78428624665,0.8801800326514714,0.28899
1,11,200000,100000,0.9855665391510594,0.9626132675149759,0.022953271636083517,0.97878273325,0.988785094280734,0.07381
1,12,200000,100000,0.9156127548781156,0.6478489767141958,0.2677637781639197,0.99910218935,0.9995559096943117,0.01198
2,0,200000,100000,1.0000000278829546,1.0000000278829546,0.0,0.5,1.0,0.0
2,1,200000,100000,0.9985913116219721,0.9985751866388612,1.6124983110876734e-05,0.5116537442,0.6901148715061773,0.49538
2,2,200000,100000,0.9987058362420888,0.9986903605427184,1.5475699370326446e-05,0.51453147385,0.7003811322976151,0.5022325
2,3,200000,100000,0.9977533805794953,0.9976977328556725,5.564772382271599e-05,0.51493607455,0.7040849088648597,0.5049
2,4,200000,100000,0.995159866769249,0.9950978349719514,6.203179729757924e-05,0.50891596295,0.7047461350581813,0.51204
2,5,200000,100000,0.9918787438238178,0.9916491573687997,0.00022958645501813812,0.51701636285,0.7109110087860373,0.5040625
2,6,200000,100000,0.9882747091488575,0.987892723460904,0.0003819856879535566,0.52014446105,0.7121259738930226,0.49994
2,7,200000,100000,0.9884167475948338,0.9878164708893616,0.0006002767054721359,0.53630995055,0.7212629195313068,0.48579
2,8,200000,100000,0.9902232193336122,0.989587413015105,0.0006358063185072371,0.5462434359,0.7309198363806223,0.4816
2,9,200000,100000,0.9935418790499227,0.9928357442376144,0.0007061348123083011,0.58178650215,0.7567874429284163,0.45411
2,10,200000,100000,0.9955291040205115,0.9937705340719925,0.0017585699485190842,0.78194360725,0.8787122729964126,0.29193
2,11,200000,100000,0.9851001545480031,0.9610728344150352,0.024027320132967933,0.97933265515,0.9888659078921448,0.0725425
2,12,200000,100000,0.9178238282471143,0.6526938531210186,0.2651299751260957,0.99912517785,0.9995698590939461,0.01172
