seed,representation,query_protocol,R1,R5,R10,mAP,query_count,gallery_count
0,F_visual,A_gallery_B_query,0.9960504043633628,0.9977430882076359,0.998495392138424,0.9886949129244164,5317,5952
0,F_visual,A_gallery_C_query,0.9850611136260752,0.9938131884714049,0.9959257582616569,0.9677192300775553,6627,5952
0,F_cloth,A_gallery_B_query,0.97987586985142,0.9905962008651495,0.9926650366748166,0.9375936889748397,5317,5952
0,F_cloth,A_gallery_C_query,0.8296363362003923,0.9200241436547457,0.9468839595593783,0.7098989869179483,6627,5952
1,F_visual,A_gallery_B_query,0.9954861764152718,0.9979311641903329,0.998495392138424,0.9880078978736482,5317,5952
1,F_visual,A_gallery_C_query,0.9843066244152708,0.9935113927870831,0.9954730647351743,0.966007743899632,6627,5952
1,F_cloth,A_gallery_B_query,0.9768666541282678,0.9845777694188452,0.9875869851419974,0.9385555108547876,5317,5952
1,F_cloth,A_gallery_C_query,0.8282782556209446,0.9224385091293195,0.9486947336653085,0.7100615021987475,6627,5952
2,F_visual,A_gallery_B_query,0.9958623283806658,0.9979311641903329,0.9983073161557269,0.9887464897382158,5317,5952
2,F_visual,A_gallery_C_query,0.986268296363362,0.9944167798400483,0.9959257582616569,0.9669222094263504,6627,5952
2,F_cloth,A_gallery_B_query,0.9787474139552379,0.9860823772804213,0.9890915930035734,0.9389875204639813,5317,5952
2,F_cloth,A_gallery_C_query,0.8281273577787838,0.9150445148634374,0.9400935566621398,0.6971322078222584,6627,5952
