layer,seed0_cosine,seed1_cosine,seed2_cosine,mean,std,R2_mean,NMSE_mean
0,0.9494089718229808,0.9535484760394498,0.9565203486734409,0.9531592655119572,0.002916222877096153,-0.013926052650681623,0.09244962104872712
1,0.9265876212005827,0.9335327219132404,0.9375788952245004,0.9325664127794412,0.004538894224644013,-0.48632952978275007,0.1355710281897398
2,0.9250641112977972,0.9314396369992846,0.9356655978424067,0.9307231153798293,0.004357593499646624,-0.5361484989599611,0.1400741775343468
3,0.9250580793558905,0.9318269141665494,0.9348960496606963,0.9305936810610453,0.004109911827841208,-0.5379112064332771,0.14019900563844254
4,0.9177154031212393,0.9249844503006464,0.9299928931554903,0.9242309155257921,0.0050405060181142455,-0.7011778312192926,0.1551704050562702
5,0.910191792744741,0.919064157842645,0.9221815255065765,0.9171458253646542,0.005079266518382572,-0.8814853259374842,0.17154652405139428
6,0.9075712598067524,0.9178477818290366,0.920113048400727,0.9151773633455053,0.005457256114072806,-0.9365548359126624,0.17659457331123143
7,0.908412905475176,0.9168246705361702,0.9203384612738527,0.9151920124283995,0.005003592019705429,-0.9444205270112782,0.17726314470717983
8,0.908638040093927,0.9163510320335457,0.921313456425115,0.915434176184196,0.0052151710281064835,-0.953820916743843,0.17822682808219295
9,0.9162435360763792,0.9240519154572497,0.9280365217782227,0.9227773244372838,0.004898099266865637,-0.7762872710978937,0.16197377322148074
10,0.9330873006537345,0.940313438926331,0.9407451523244453,0.9380486306348369,0.003512614458449959,-0.41999945422981405,0.1294251597639242
11,0.9482833038411778,0.9537480325122247,0.9539977381700232,0.9520096915078086,0.0026369252309457907,-0.10210280210265947,0.10045442131583139
12,0.9600276152554075,0.9626774732430476,0.9632228821842289,0.9619759902275614,0.0013955862573047481,0.14205345199782915,0.07808319876177834
