alpha,R1_mean,R1_std,R5_mean,R5_std,R10_mean,R10_std,mAP_mean,mAP_std,D_gap_mean,D_gap_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,EER_mean,EER_std
0.0,0.9852120114682359,0.0008079260803887674,0.9939137870328455,0.0003764053505129532,0.995774860419496,0.00021340177491672462,0.9668830611345126,0.000699259453932546,0.44319009855941677,0.010066297265560556,0.9991585046,1.2347390198792406e-05,0.9995909695979921,4.416426438933588e-06,0.011340000000000001,7.483314773547933e-05
0.25,0.9855138071525578,0.0007494424035889442,0.9939640863135657,0.00012320757219368467,0.9958251597002162,0.00035566962486117276,0.9678092187438061,0.0006832063428921628,0.369216702838948,0.010525374646979925,0.99915435165,1.2632969952508745e-05,0.9995910071635435,6.406226317221057e-06,0.0112975,9.939399713597724e-05
0.5,0.9859162013983199,0.0006785743958166981,0.9943161812786077,0.00025647701391241307,0.9959257582616569,0.00032597659566461205,0.9686952172715922,0.0006806426119213748,0.30836293880782156,0.010248718016854596,0.9991488716666668,1.9976852241304247e-05,0.999590106647148,1.0567044730084246e-05,0.011243333333333334,0.00020286832072937287
0.75,0.9866203913284041,0.0004979374748056732,0.9945173784014888,0.00031006559041141913,0.9959760575423772,0.00046645633999777415,0.9695185973070872,0.0007009088571770775,0.25970736394533916,0.009613542353575935,0.9991408386499999,3.024391582557793e-05,0.9995877878591322,1.531444771938387e-05,0.011236666666666667,0.00029009576962712714
1.0,0.9870227855741662,0.0004928302887748747,0.9946179769629295,0.0001422678499445005,0.9960263568230975,0.0004326907734541799,0.9701862075055742,0.0007342410405583907,0.22122251575844878,0.008856171117781033,0.9991275656499999,4.147885530539739e-05,0.9995828655471583,2.021546676817868e-05,0.011226666666666668,0.00037985377303495217
1.25,0.9871233841356069,0.0003100655904113771,0.9945173784014888,0.0004326907734541799,0.9962778532266988,0.0005690713997778974,0.9706564856171692,0.0007480561557852271,0.19080902017134435,0.008101519796327566,0.9991061145666666,5.351905454547425e-05,0.9995740029246489,2.531089084676688e-05,0.011250833333333333,0.00045632742874193195
1.5,0.9869221870127257,0.0005822562699456637,0.9948191740858107,0.0004326907734541799,0.9962275539459786,0.0005646080257694348,0.9708442124585667,0.0007654255166756415,0.1666650473852449,0.007406285458524717,0.99907379865,6.64534021003189e-05,0.9995599500624023,3.0675207792265545e-05,0.0113575,0.0005921394824419892
