seed,alpha,R1,R5,R10,mAP,query_count,gallery_count
0,0.0,0.9850611136260752,0.9938131884714049,0.9959257582616569,0.9677192300775553,6627,5952
0,0.25,0.9849102157839142,0.9941149841557265,0.9960766561038177,0.9686031453033787,6627,5952
0,0.5,0.9853629093103968,0.9945676776822091,0.9960766561038177,0.9694520135618837,6627,5952
0,0.75,0.986268296363362,0.9948694733665309,0.9962275539459786,0.9702528852286584,6627,5952
0,1.0,0.9870227855741663,0.99471857552437,0.9960766561038177,0.9709175074173212,6627,5952
0,1.25,0.9871736834163272,0.9950203712086917,0.9966802474724611,0.9713558796648751,6627,5952
0,1.5,0.9871736834163272,0.9953221668930134,0.996831145314622,0.9715327389503249,6627,5952
1,0.0,0.9843066244152708,0.9935113927870831,0.9954730647351743,0.966007743899632,6627,5952
1,0.25,0.9850611136260752,0.9938131884714049,0.9953221668930134,0.966935373063468,6627,5952
1,0.5,0.9855138071525578,0.9939640863135657,0.9954730647351743,0.9678016918810056,6627,5952
1,0.75,0.986268296363362,0.9941149841557265,0.9953221668930134,0.968574802866999,6627,5952
1,1.0,0.9864191942055228,0.9944167798400483,0.9954730647351743,0.9691821492260007,6627,5952
1,1.25,0.9867209898898446,0.9939640863135657,0.9954730647351743,0.969619389151334,6627,5952
1,1.5,0.9861173985212012,0.9942658819978875,0.9954730647351743,0.9697765801609736,6627,5952
2,0.0,0.986268296363362,0.9944167798400483,0.9959257582616569,0.9669222094263504,6627,5952
2,0.25,0.9865700920476838,0.9939640863135657,0.9960766561038177,0.9678891378645719,6627,5952
2,0.5,0.9868718877320054,0.9944167798400483,0.9962275539459786,0.9688319463718875,6627,5952
2,0.75,0.987324581258488,0.9945676776822091,0.9963784517881394,0.9697281038256044,6627,5952
2,1.0,0.9876263769428097,0.99471857552437,0.9965293496303003,0.9704589658734009,6627,5952
2,1.25,0.9874754791006488,0.9945676776822091,0.9966802474724611,0.9709941880352984,6627,5952
2,1.5,0.9874754791006488,0.9948694733665309,0.9963784517881394,0.9712233182644016,6627,5952
