Variant,Mechanism,Reliability,n_seeds,Diff_R1_mean,Diff_R1_std,Delta_Diff_R1_mean,Delta_Diff_R1_std,Delta_Diff_R1_seed0,Delta_Diff_R1_seed1,Delta_Diff_R1_seed2,Diff_mAP_mean,Diff_mAP_std,Delta_Diff_mAP_mean,Delta_Diff_mAP_std,Delta_Diff_mAP_seed0,Delta_Diff_mAP_seed1,Delta_Diff_mAP_seed2,Same_R1_mean,Same_R1_std,Delta_Same_R1_mean,Delta_Same_R1_std,Delta_Same_R1_seed0,Delta_Same_R1_seed1,Delta_Same_R1_seed2,Same_mAP_mean,Same_mAP_std,Delta_Same_mAP_mean,Delta_Same_mAP_std,Delta_Same_mAP_seed0,Delta_Same_mAP_seed1,Delta_Same_mAP_seed2
N00,Original PDF / control,none,3,65.34951547652648,1.0965323010129577,0.0,0.0,0.0,0.0,0.0,62.32556172435246,0.19625639437088793,0.0,0.0,0.0,0.0,0.0,99.87090111025046,0.0,0.0,0.0,0.0,0.0,0.0,98.132521192207,0.10453837723002384,0.0,0.0,0.0,0.0,0.0
N09,Relative Semantic Ranking,none,3,65.50945526390065,0.9288446329045602,0.15993978737416606,0.1879291029771159,0.3669206886819012,0.11289867344059701,0.0,62.31320106726554,0.18898912926172565,-0.012360657086920432,0.00833766062477739,-0.0030523698202671312,-0.019143985027689325,-0.014885616412804836,99.85368792495052,0.02981411149959698,-0.01721318529994183,0.02981411149959698,0.0,0.0,-0.051639555899825496,98.12383158019708,0.11125682323865213,-0.008689612009916914,0.006726262087116253,-0.007719810380706349,-0.0025008919733977564,-0.015848133675646636
N14,Relative Semantic Ranking + Attribute Reliability,attribute,3,65.39655659046007,1.0488797164020305,0.04704111393358327,0.13338457878218615,0.0,0.1975726785210412,-0.0564493367202914,62.31178993420625,0.22544184470070858,-0.013771790146210586,0.03130085226754434,-0.04756678964270833,0.014223766163816265,-0.007972346959739696,99.85368792495052,0.02981411149959698,-0.01721318529994183,0.02981411149959698,0.0,0.0,-0.051639555899825496,98.13010680181759,0.10983206619812591,-0.002414390389399538,0.008723721426561505,0.006205630111892901,-0.002210560761824354,-0.011238240518267162
N15,Relative Semantic Ranking + Confidence Reliability,confidence,3,65.41537303603349,1.0892430624447327,0.065857559507009,0.08622778615025566,0.1411233418007214,-0.028224668360138594,0.0846740050804442,62.30998702981622,0.19473915243740314,-0.015574694536238573,0.021115091663108064,0.0033057553098103654,-0.011654771400593233,-0.03837506751793285,99.86229451760049,0.03944036229413919,-0.008606592649973285,0.03944036229413919,0.0,0.025819777949905642,-0.051639555899825496,98.13129205364947,0.10346529619138624,-0.0012291385575243414,0.003187585908151784,0.002111577014886734,-0.004237561558895209,-0.00156143112856455
N16,Relative Semantic Ranking + Joint Reliability,joint,3,65.3589236993132,1.06558247321613,0.009408222786717602,0.03259103975103196,0.028224668360138594,0.028224668360152805,-0.028224668360138594,62.336764701099106,0.19070170244983037,0.011202976746647645,0.011026213488936551,0.008578548313266765,0.0017257671857606738,0.023304614740915497,99.8881142955504,0.014907055749794387,0.017213185299937095,0.014907055749794387,0.0,0.025819777949905642,0.025819777949905642,98.12953799689407,0.10861630390197945,-0.0029831953129217936,0.004693637921074007,-0.005357855543891787,0.0024232553892176156,-0.006014985784091209
